NVIDIA,GeForce RTX 3060,GA106,2021,12,1320 MHz,1875 MHz,3584 / 112 / 48
NVIDIA,GeForce RTX 3090,GA102,2020,24,1395 MHz,1219 MHz,10496 / 328 / 112
NVIDIA,GeForce RTX 3050 4 GB,GA106,2022,4,1545 MHz,1750 MHz,2304 / 72 / 40
NVIDIA,GeForce GTX 1050 Ti,GP107,2016,4,1291 MHz,1752 MHz,768 / 48 / 32
NVIDIA,GeForce RTX 3060 Ti,GA104,2020,8,1410 MHz,1750 MHz,4864 / 152 / 80
AMD,Radeon RX 6500 XT,Navi 24,2022,4,2200 MHz,2250 MHz,1024 / 64 / 32
NVIDIA,GeForce GTX 1650,TU117,2019,4,1485 MHz,2001 MHz,896 / 56 / 32
AMD,Radeon RX 6600 XT,Navi 23,2021,8,1968 MHz,2000 MHz,2048 / 128 / 64
NVIDIA,GeForce RTX 3090 Ti,GA102,2022,24,1560 MHz,1325 MHz,10752 / 336 / 112
NVIDIA,GeForce RTX 2060,TU106,2019,6,1365 MHz,1750 MHz,1920 / 120 / 48
NVIDIA,GeForce GTX 970,GM204,2014,4,1050 MHz,1753 MHz,1664 / 104 / 56
NVIDIA,GeForce RTX 3070,GA104,2020,8,1500 MHz,1750 MHz,5888 / 184 / 96
NVIDIA,GeForce RTX 3080,GA102,2020,10,1440 MHz,1188 MHz,8704 / 272 / 96
NVIDIA,GeForce GTX 1060 6 GB,GP106,2016,6,1506 MHz,2002 MHz,1280 / 80 / 48
NVIDIA,GeForce GTX 960,GM206,2015,2,1127 MHz,1753 MHz,1024 / 64 / 32
NVIDIA,GeForce GTX 750 Ti,GM107,2014,2,1020 MHz,1350 MHz,640 / 40 / 16
NVIDIA,GeForce RTX 3080 Ti,GA102,2021,12,1365 MHz,1188 MHz,10240 / 320 / 112
NVIDIA,GeForce GT 1030,GP108,2017,2,1228 MHz,1502 MHz,384 / 24 / 16
AMD,Radeon RX 580,Polaris 20,2017,8,1257 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX 570,Polaris 20,2017,4,1168 MHz,1750 MHz,2048 / 128 / 32
NVIDIA,GeForce GTX 1080 Ti,GP102,2017,11,1481 MHz,1376 MHz,3584 / 224 / 88
NVIDIA,GeForce GTX 1070,GP104,2016,8,1506 MHz,2002 MHz,1920 / 120 / 64
NVIDIA,GeForce RTX 3070 Ti,GA104,2021,8,1575 MHz,1188 MHz,6144 / 192 / 96
AMD,Radeon RX 6900 XT,Navi 21,2020,16,1825 MHz,2000 MHz,5120 / 320 / 128
NVIDIA,GeForce GTX 1660 SUPER,TU116,2019,6,1530 MHz,1750 MHz,1408 / 88 / 48
NVIDIA,GeForce GTX 550 Ti,GF116,2011,1,900 MHz,1026 MHz,192 / 32 / 24
NVIDIA,GeForce GT 730,GK208B,2014,1,902 MHz,1253 MHz,384 / 32 / 8
NVIDIA,GeForce GTX 1080,GP104,2016,8,1607 MHz,1251 MHz,2560 / 160 / 64
NVIDIA,GeForce 210,GT218,2009,0.5,520 MHz,400 MHz,16 / 8 / 4
NVIDIA,GeForce GTX 1050,GP107,2016,2,1354 MHz,1752 MHz,640 / 40 / 32
AMD,Radeon RX 6700 XT,Navi 22,2021,12,2321 MHz,2000 MHz,2560 / 160 / 64
NVIDIA,GeForce GTX 1660 Ti,TU116,2019,6,1500 MHz,1500 MHz,1536 / 96 / 48
NVIDIA,GeForce GTX 950,GM206,2015,2,1024 MHz,1653 MHz,768 / 48 / 32
NVIDIA,GeForce GTX 980 Ti,GM200,2015,6,1000 MHz,1753 MHz,2816 / 176 / 96
NVIDIA,GeForce GTX 1650 SUPER,TU116,2019,4,1530 MHz,1500 MHz,1280 / 80 / 32
AMD,Radeon RX 6600,Navi 23,2021,8,1626 MHz,1750 MHz,1792 / 112 / 64
AMD,Radeon RX 550,Lexa,2017,2,1100 MHz,1750 MHz,512 / 32 / 16
NVIDIA,GeForce RTX 2080 Ti,TU102,2018,11,1350 MHz,1750 MHz,4352 / 272 / 88
NVIDIA,GeForce GTX 1660,TU116,2019,6,1530 MHz,2001 MHz,1408 / 88 / 48
NVIDIA,GeForce GTX 760,GK104,2013,2,980 MHz,1502 MHz,1152 / 96 / 32
AMD,Radeon R9 Nano,Fiji,2015,4,1000 MHz,500 MHz,4096 / 256 / 64
NVIDIA,GeForce GTX 660,GK106,2012,2,980 MHz,1502 MHz,960 / 80 / 24
AMD,Radeon RX 560,Polaris 21,2017,4,1175 MHz,1750 MHz,1024 / 64 / 16
NVIDIA,GeForce GTX 980,GM204,2014,4,1127 MHz,1753 MHz,2048 / 128 / 64
NVIDIA,GeForce RTX 2070,TU106,2018,8,1410 MHz,1750 MHz,2304 / 144 / 64
NVIDIA,GeForce GTS 450,GF106,2010,1,783 MHz,902 MHz,192 / 32 / 16
NVIDIA,GeForce RTX 2070 SUPER,TU104,2019,8,1605 MHz,1750 MHz,2560 / 160 / 64
NVIDIA,GeForce GTX 650,GK107,2012,1,1058 MHz,1250 MHz,384 / 32 / 16
NVIDIA,GeForce GT 710,GK208B,2014,2,954 MHz,900 MHz,192 / 16 / 8
NVIDIA,GeForce 6800 XT,NV42,2005,0.25,450 MHz,600 MHz,12 / 5 / 12 / 12
NVIDIA,GeForce 7800 GT,G70,2005,0.25,400 MHz,500 MHz,20 / 7 / 20 / 16
AMD,Radeon X1800 XL,R520,2005,0.25,500 MHz,500 MHz,16 / 8 / 16 / 16
AMD,Radeon X1800 XT,R520,2005,0.5,600 MHz,700 MHz,16 / 8 / 16 / 16
